,ortnamn,kommun,pop,area,popdensity,orttyp,latitude,longitude,efterled
Abbekås (Skurup kommun),Abbekås,Skurup,825,158,523,tätort,55.3992749,13.6002756,ås
Abborrberget (Strängnäs kommun),Abborrberget,Strängnäs,2655,165,1606,tätort,59.3857744,17.0382102,berget
Agunnaryd (Ljungby kommun),Agunnaryd,Ljungby,210,48,437,tätort,56.749574,14.146603,ryd
Alberga (Eskilstuna kommun),Alberga,Eskilstuna,406,60,682,tätort,59.280621,16.1145003,berga
Alby (Ånge kommun),Alby,Ånge,327,149,220,tätort,62.4940614,15.4766852,by
Alfta (Ovanåker kommun),Alfta,Ovanåker,2461,382,644,tätort,61.345719,16.0001042,ta
Algutsrum (Mörbylånga kommun),Algutsrum,Mörbylånga,858,175,490,tätort,56.6794265,16.5297957,rum
Alingsås (Alingsås kommun),Alingsås,Alingsås,27266,1410,1934,tätort,57.9299658,12.5329678,ås
Allerum (Helsingborg kommun),Allerum,Helsingborg,725,94,770,tätort,56.1099864,12.6918267,rum
Almunge (Uppsala kommun),Almunge,Uppsala,888,149,595,tätort,59.8773068,18.0461233,
Alsike (Knivsta kommun),Alsike,Knivsta,4933,338,1461,tätort,59.7566269,17.7635873,sike
Alstad (Trelleborg kommun),Alstad,Trelleborg,341,54,631,tätort,55.4543742,13.2095014,stad
Alster (Karlstad kommun),Alster,Karlstad,771,146,529,tätort,59.3981176,13.6084317,
Alsterbro (Nybro kommun),Alsterbro,Nybro,451,105,431,tätort,56.9402572,15.9139431,bro
Alstermo (Uppvidinge kommun),Alstermo,Uppvidinge,885,175,505,tätort,56.9742714,15.6526808,mo
Alunda (Östhammar kommun),Alunda,Östhammar,2629,298,882,tätort,60.0664532,18.0780717,lunda
Alvesta (Alvesta kommun),Alvesta,Alvesta,9076,647,1403,tätort,56.8997562,14.5546493,sta
Alvhem (Ale kommun),Alvhem,Ale,333,86,389,tätort,58.0063995,12.1576462,hem
Alvik (Leksand kommun),Alvik,Leksand,306,171,179,tätort,60.7477267,14.874597,vik
Ambjörnarp (Tranemo kommun),Ambjörnarp,Tranemo,300,103,290,tätort,57.4213149,13.2945589,arp
Ammenäs (Uddevalla kommun),Ammenäs,Uddevalla,603,149,406,tätort,58.3113955,11.8184075,näs
Anderslöv (Trelleborg kommun),Anderslöv,Trelleborg,1997,138,1447,tätort,55.4388771,13.3186826,löv
Anderstorp (Gislaved kommun),Anderstorp,Gislaved,5140,638,806,tätort,57.2829822,13.6368211,torp
Aneby (Aneby kommun),Aneby,Aneby,3690,406,909,tätort,57.838069,14.8100784,by
Angelstad (Ljungby kommun),Angelstad,Ljungby,255,62,414,tätort,56.8280083,13.7622687,stad
Angered (Göteborg kommun),Angered,Göteborg,1417,237,597,tätort,57.81327775,12.118507262629436,red
Ankarsrum (Västervik kommun),Ankarsrum,Västervik,1328,168,788,tätort,57.6990558,16.3356297,rum
Ankarsvik (Sundsvall kommun),Ankarsvik,Sundsvall,1015,208,488,tätort,62.373596,17.40904,vik
Anneberg (Nässjö kommun),Anneberg,Nässjö,826,117,709,tätort,57.7233889,14.8067122,berg
Annelöv (Landskrona kommun),Annelöv,Landskrona,453,68,671,tätort,55.8365448,13.0197328,löv
Antnäs (Luleå kommun),Antnäs,Luleå,1723,295,583,tätort,65.5525529,21.8428729,näs
Aplared (Borås kommun),Aplared,Borås,450,65,697,tätort,57.6501253,13.067945,red
Arboga (Arboga kommun),Arboga,Arboga,10981,714,1538,tätort,59.394187,15.8396643,
Arbrå (Bollnäs kommun),Arbrå,Bollnäs,2105,295,713,tätort,61.4730882,16.374964,rå
Ardala (Skara kommun),Ardala,Skara,715,65,1103,tätort,58.3620073,13.3380561,dala
Arentorp (Vara kommun),Arentorp,Vara,507,82,615,tätort,58.241915,12.8738943,torp
Arild (Höganäs kommun),Arild,Höganäs,705,333,212,tätort,56.2738191,12.5721097,
Arjeplog (Arjeplog kommun),Arjeplog,Arjeplog,1782,223,799,tätort,66.0517686,17.89168,
Arkelstorp (Kristianstad kommun),Arkelstorp,Kristianstad,810,158,511,tätort,56.1739234,14.2897744,torp
Arninge (Täby kommun),Arninge,Täby,1354,155,872,tätort,59.4647097,18.129501,inge
Arnö (Nyköping kommun),Arnö,Nyköping,4662,247,1890,tätort,58.7297054,17.0214131,ö
Arrie (Vellinge kommun),Arrie,Vellinge,213,38,565,tätort,55.5155259,13.0851347,ie
Arvidsjaur (Arvidsjaur kommun),Arvidsjaur,Arvidsjaur,4607,427,1079,tätort,65.5947672,19.1695024,jaur
Arvidsvik (Kungälv kommun),Arvidsvik,Kungälv,1028,116,885,tätort,57.8901059,11.5959299,vik
Arvika (Arvika kommun),Arvika,Arvika,14095,1169,1205,tätort,59.6543555,12.5916225,vika
Aröd (Kungälv kommun),Aröd,Kungälv,888,265,335,tätort,57.9577881,11.7689991,röd
Timmervik (Kungälv kommun),Timmervik,Kungälv,888,265,335,tätort,57.9017883,12.0368307,vik
Askeby (Linköping kommun),Askeby,Linköping,505,58,875,tätort,58.4066961,15.871683116298325,by
Askersby (Örebro kommun),Askersby,Örebro,254,59,432,tätort,59.1489606,15.474376,by
Askersund (Askersund kommun),Askersund,Askersund,4172,386,1081,tätort,58.8799641,14.9028069,sund
Asmundtorp (Landskrona kommun),Asmundtorp,Landskrona,1599,118,1351,tätort,55.8855959,12.9471949,torp
Aspeboda (Falu kommun),Aspeboda,Falu,345,176,196,tätort,60.560042,15.4918744,boda
Asperö (Göteborg kommun),Asperö,Göteborg,419,38,1090,tätort,57.64628555,11.80021166698275,ö
Aspås (Krokom kommun),Aspås,Krokom,482,148,326,tätort,63.3650346,14.4847004,ås
Avan (Luleå kommun),Avan,Luleå,210,61,344,tätort,65.6804173,21.8046379,
Avesta (Avesta kommun),Avesta,Avesta,16498,1500,1100,tätort,60.1469553,16.1826996,sta
Axvall (Skara kommun),Axvall,Skara,1142,116,985,tätort,58.3891661,13.5747695,vall
Backa (Rättvik kommun),Backa,Rättvik,626,355,176,tätort,60.9240204,15.1208281,backa
Backaryd (Ronneby kommun),Backaryd,Ronneby,397,71,562,tätort,56.3472091,15.1544828,ryd
Backe (Strömsund kommun),Backe,Strömsund,543,150,361,tätort,63.8106436,16.4057931,
Baggetorp (Vingåker kommun),Baggetorp,Vingåker,563,121,465,tätort,59.0081907,16.0634141,torp
Ballingslöv (Hässleholm kommun),Ballingslöv,Hässleholm,362,66,546,tätort,56.2142746,13.8465783,löv
Balsby (Kristianstad kommun),Balsby,Kristianstad,522,69,757,tätort,56.075362,14.2110301,by
Bammarboda (Österåker kommun),Bammarboda,Österåker,664,309,215,tätort,59.5064698,18.4684635,boda
Bankekind (Linköping kommun),Bankekind,Linköping,500,48,1047,tätort,58.3614502,15.853222910286785,
Bankeryd (Jönköping kommun),Bankeryd,Jönköping,8817,750,1176,tätort,57.8631423,14.1278533,ryd
Bara (Svedala kommun),Bara,Svedala,3801,174,2180,tätort,55.5821668,13.1806037,
