,ortnamn,latitude,longitude,efterled
0,Abbekås,55.399274899999995,13.6002756,ås
1,Abborrberget,59.385774399999995,17.038210199999998,berget
2,Agunnaryd,56.749573999999996,14.146603,ryd
3,Alberga,59.280621,16.1145003,berga
4,Alby,62.49406139999999,15.476685199999999,by
5,Alfta,61.345718999999995,16.0001042,ta
6,Algutsrum,56.6794265,16.5297957,rum
7,Alingsås,57.92996579999999,12.532967800000002,ås
8,Allerum,56.1099864,12.6918267,rum
9,Almunge,59.8773068,18.0461233,
10,Alsike,59.7566269,17.7635873,sike
11,Alstad,55.45437420000001,13.209501399999999,stad
12,Alster,59.3981176,13.608431699999999,
13,Alsterbro,56.940257200000005,15.913943099999997,bro
14,Alstermo,56.974271400000006,15.652680800000002,mo
15,Alunda,60.0664532,18.0780717,lunda
16,Alvesta,56.899756200000006,14.554649300000001,sta
17,Alvhem,58.0063995,12.1576462,hem
18,Alvik,60.7477267,14.874597,vik
19,Ambjörnarp,57.4213149,13.2945589,arp
20,Ammenäs,58.311395499999996,11.8184075,näs
21,Anderslöv,55.438877100000006,13.3186826,löv
22,Anderstorp,57.282982200000006,13.6368211,torp
23,Aneby,57.838069,14.810078400000002,by
24,Angelstad,56.8280083,13.7622687,stad
25,Angered,57.81327775,12.118507262629436,red
26,Ankarsrum,57.6990558,16.3356297,rum
27,Ankarsvik,62.373596,17.40904,vik
28,Anneberg,57.723388899999996,14.8067122,berg
29,Annelöv,55.8365448,13.019732800000002,löv
30,Antnäs,65.5525529,21.8428729,näs
31,Aplared,57.6501253,13.067945,red
32,Arboga,59.394187,15.8396643,
33,Arbrå,61.4730882,16.374964000000002,rå
34,Ardala,58.362007299999995,13.3380561,dala
35,Arentorp,58.241915000000006,12.873894300000002,torp
36,Arild,56.2738191,12.572109699999999,
37,Arjeplog,66.0517686,17.891679999999997,
38,Arkelstorp,56.17392339999999,14.2897744,torp
39,Arninge,59.46470970000001,18.129501,inge
40,Arnö,58.7297054,17.021413100000004,ö
41,Arrie,55.51552589999999,13.0851347,ie
42,Arvidsjaur,65.5947672,19.1695024,jaur
43,Arvidsvik,57.8901059,11.5959299,vik
44,Arvika,59.65435550000001,12.5916225,vika
45,Aröd,57.9577881,11.7689991,röd
46,Timmervik,57.90178829999999,12.0368307,vik
47,Askeby,58.4066961,15.871683116298325,by
48,Askersby,59.1489606,15.474376000000001,by
49,Askersund,58.87996410000001,14.902806900000002,sund
50,Asmundtorp,55.885595900000006,12.947194900000001,torp
51,Aspeboda,60.560042,15.4918744,boda
52,Asperö,57.64628555,11.80021166698275,ö
53,Aspås,63.3650346,14.484700400000001,ås
54,Avan,65.6804173,21.8046379,
55,Avesta,60.146955299999995,16.1826996,sta
56,Axvall,58.3891661,13.5747695,vall
57,Backa,60.9240204,15.120828099999999,backa
58,Backaryd,56.3472091,15.1544828,ryd
59,Backe,63.8106436,16.405793099999997,
60,Baggetorp,59.0081907,16.0634141,torp
61,Ballingslöv,56.2142746,13.8465783,löv
62,Balsby,56.075362,14.2110301,by
63,Bammarboda,59.5064698,18.468463500000002,boda
64,Bankekind,58.3614502,15.853222910286783,
65,Bankeryd,57.86314229999999,14.1278533,ryd
66,Bara,55.582166799999996,13.180603699999999,
67,Barkarö,59.5557933,16.5041931,ö
68,Barnarp,58.068896499999994,14.541797699999998,arp
69,Odensjö,57.7076329,14.1757875,sjö
70,Barsebäck,55.77166139999999,12.9563659,bäck
71,Barsebäckshamn,55.755836800000004,12.9058848,hamn
72,Baskemölla,55.591541299999996,14.315296100000001,la
73,Bastuträsk,64.789528,20.0438232,träsk
74,Beddingestrand,55.3606336,13.425184699999997,strand
75,Bengtsfors,59.03092879999999,12.222887,fors
76,Bengtsheden,60.7002137,15.8722929,heden
77,Bensbyn,65.639826,22.2396659,byn
78,Berg,58.2167865,16.0221066,berg
79,Berg,58.487531999999995,15.526270000000002,berg
80,Berg,60.4031589,17.0177439,berg
81,Berga,57.217398100000004,16.0346698,berga
82,Bergagård,56.9815167,12.5775003,
83,Bergby,60.929064600000004,17.0410031,by
84,Bergeforsen,62.526318,17.3739827,forsen
85,Berghem,57.4668015,12.589443800000002,hem
86,Bergkvara,56.39075089999999,16.070362,
87,Bergnäset,65.5682242,22.110145899999996,
88,Bergshammar,58.741404,16.912554,hammar
89,Bergshamra,59.639531299999994,18.6564963,
